Bank	AllOrds	Develop	Mining	Gold	Build	Prop	Indust	Energy	Finance	Resources	Transport	Retail	Unemploy	CPI	BankBill
2292.60	5634.60	2976.50	672.60	1148.40	2530.10	981.60	2607.00	814.40	2110.10	976.40	3357.50	2807.80	10.90	107.60	8.70
2243.00	5469.10	2761.10	638.50	1160.90	2354.20	953.80	2514.70	777.70	2061.10	912.80	3207.90	2701.30	11.00	107.60	8.25
2334.40	5502.30	2992.80	662.20	1200.70	2460.90	1021.20	2609.70	750.00	2046.70	922.50	3472.70	2812.80	11.10	107.60	7.70
2162.50	5507.80	2750.70	687.70	1214.90	2370.70	1008.10	2519.30	732.60	2050.20	938.00	3282.60	2764.30	11.30	107.60	7.55
2127.80	5556.50	2761.30	700.60	1239.30	2382.00	981.20	2489.20	728.70	2021.10	944.30	3121.90	2641.70	11.40	107.60	7.50
2049.10	5403.10	2607.30	693.20	1186.90	2300.70	975.60	2434.10	708.00	1926.40	930.40	2998.90	2641.70	11.60	107.60	7.55
2192.10	5620.70	2783.10	705.80	1144.80	2452.20	1006.60	2571.30	709.90	1959.90	955.90	3211.80	2798.80	11.70	107.30	6.95
2139.60	5816.40	2724.60	712.40	1079.50	2409.30	1005.30	2604.60	728.70	2013.00	969.80	3272.50	2859.10	11.90	107.30	6.50
2040.50	5720.10	2710.90	714.70	1145.80	2351.00	1012.30	2529.60	704.50	2036.50	966.80	3186.10	2707.70	11.90	107.30	6.40
2048.60	5631.50	2696.90	707.90	1186.20	2235.80	1039.80	2497.10	720.70	2026.70	944.50	3013.10	2586.20	12.00	107.40	5.55
1886.60	5392.50	2456.40	678.70	1108.60	2098.00	1002.60	2395.10	701.60	1991.60	898.30	2819.50	2454.80	12.00	107.40	5.90
1775.60	5198.00	2301.00	659.70	1086.80	1960.20	992.40	2296.10	707.10	1928.30	864.10	2670.70	2548.90	12.00	107.40	5.95
1711.40	5033.50	2243.10	608.20	1015.60	1928.30	986.20	2236.70	670.00	1796.40	805.20	2571.30	2350.10	12.00	107.90	5.85
1797.30	5124.00	2335.50	571.50	917.80	1922.70	989.30	2310.40	670.80	1864.80	787.90	2562.50	2242.40	12.00	107.90	5.85
1901.20	5504.60	2474.40	602.30	930.70	2094.80	991.70	2449.80	685.00	1915.80	861.30	2703.90	2494.70	12.00	107.90	5.90
1850.10	5429.30	2478.00	592.60	980.70	2024.20	989.70	2418.70	677.00	1900.50	846.50	2640.40	2402.00	12.00	108.90	5.85
2003.40	5727.60	2632.50	623.90	1052.30	2120.50	1002.30	2535.90	694.00	1946.90	900.80	2644.80	2444.00	12.00	108.90	5.80
2114.30	5968.10	2740.20	670.70	1238.40	2192.60	1044.10	2602.20	749.60	2005.30	952.90	2701.00	2464.30	11.90	108.90	5.35
2187.10	6036.00	2716.60	696.00	1456.00	2165.30	1064.10	2615.60	771.30	2022.30	967.90	2698.00	2490.80	11.80	109.30	5.25
2338.90	6253.90	2685.30	784.10	1946.50	2188.60	1076.20	2673.10	762.90	2024.70	1023.70	2529.80	2646.50	11.80	109.30	5.15
